Datetime,Water Level (m)
2023-11-06 00:00:00,0.38332906
2023-11-06 01:00:00,0.6143618
2023-11-06 02:00:00,0.74234504
2023-11-06 03:00:00,0.7439002
2023-11-06 04:00:00,0.57945085
2023-11-06 05:00:00,0.2981865
2023-11-06 06:00:00,-0.03733295
2023-11-06 07:00:00,-0.34882203
2023-11-06 08:00:00,-0.61805904
2023-11-06 09:00:00,-0.7527721
2023-11-06 10:00:00,-0.68980837
2023-11-06 11:00:00,-0.44899887
2023-11-06 12:00:00,-0.16102755
2023-11-06 13:00:00,0.15853311
2023-11-06 14:00:00,0.45711023
2023-11-06 15:00:00,0.68329394
2023-11-06 16:00:00,0.7704268
2023-11-06 17:00:00,0.67857826
2023-11-06 18:00:00,0.42513993
2023-11-06 19:00:00,0.12002778
2023-11-06 20:00:00,-0.19162013
2023-11-06 21:00:00,-0.4100316
2023-11-06 22:00:00,-0.50347453
2023-11-06 23:00:00,-0.36879873
2023-11-07 00:00:00,-0.12499892
2023-11-07 01:00:00,0.15966868
2023-11-07 02:00:00,0.4748399
2023-11-07 03:00:00,0.736564
2023-11-07 04:00:00,0.86879855
2023-11-07 05:00:00,0.8198531
2023-11-07 06:00:00,0.56200135
2023-11-07 07:00:00,0.21573953
2023-11-07 08:00:00,-0.16003464
2023-11-07 09:00:00,-0.5164994
2023-11-07 10:00:00,-0.75070924
2023-11-07 11:00:00,-0.7551813
2023-11-07 12:00:00,-0.49010602
2023-11-07 13:00:00,-0.15766405
2023-11-07 14:00:00,0.19460505
2023-11-07 15:00:00,0.54834855
2023-11-07 16:00:00,0.8365344
2023-11-07 17:00:00,0.96118784
2023-11-07 18:00:00,0.8814884
2023-11-07 19:00:00,0.5933045
2023-11-07 20:00:00,0.23366633
2023-11-07 21:00:00,-0.13217406
2023-11-07 22:00:00,-0.45438942
2023-11-07 23:00:00,-0.61030203
2023-11-08 00:00:00,-0.46123362
2023-11-08 01:00:00,-0.16224429
2023-11-08 02:00:00,0.17083608
2023-11-08 03:00:00,0.5361648
2023-11-08 04:00:00,0.8591422
2023-11-08 05:00:00,1.0206318
2023-11-08 06:00:00,0.95307946
2023-11-08 07:00:00,0.6610453
2023-11-08 08:00:00,0.26285583
2023-11-08 09:00:00,-0.15671088
2023-11-08 10:00:00,-0.5643978
2023-11-08 11:00:00,-0.8103883
2023-11-08 12:00:00,-0.7713393
2023-11-08 13:00:00,-0.42266616
2023-11-08 14:00:00,-0.03246447
2023-11-08 15:00:00,0.35174185
2023-11-08 16:00:00,0.75201684
2023-11-08 17:00:00,1.0393766
2023-11-08 18:00:00,1.1274804
2023-11-08 19:00:00,0.95010006
2023-11-08 20:00:00,0.58484334
2023-11-08 21:00:00,0.1607204
2023-11-08 22:00:00,-0.27090222
2023-11-08 23:00:00,-0.6198467
2023-11-09 00:00:00,-0.7313437
2023-11-09 01:00:00,-0.47779706
2023-11-09 02:00:00,-0.09994208
2023-11-09 03:00:00,0.26539794
2023-11-09 04:00:00,0.67631847
2023-11-09 05:00:00,0.9905562
2023-11-09 06:00:00,1.1100602
2023-11-09 07:00:00,0.95534045
2023-11-09 08:00:00,0.5889966
2023-11-09 09:00:00,0.14731035
2023-11-09 10:00:00,-0.32239562
2023-11-09 11:00:00,-0.74300045
2023-11-09 12:00:00,-0.96370393
2023-11-09 13:00:00,-0.6874962
2023-11-09 14:00:00,-0.24952395
2023-11-09 15:00:00,0.17554234
2023-11-09 16:00:00,0.6024994
2023-11-09 17:00:00,1.0268692
2023-11-09 18:00:00,1.255308
2023-11-09 19:00:00,1.2184421
2023-11-09 20:00:00,0.91717595
2023-11-09 21:00:00,0.46628445
2023-11-09 22:00:00,0.007978871
2023-11-09 23:00:00,-0.4663314
2023-11-10 00:00:00,-0.8069528
2023-11-10 01:00:00,-0.8138549
2023-11-10 02:00:00,-0.39600742
2023-11-10 03:00:00,0.033562437
2023-11-10 04:00:00,0.44273937
2023-11-10 05:00:00,0.8780626
2023-11-10 06:00:00,1.1341784
2023-11-10 07:00:00,1.1555107
2023-11-10 08:00:00,0.881982
2023-11-10 09:00:00,0.4372675
2023-11-10 10:00:00,-0.043681122
2023-11-10 11:00:00,-0.53688705
2023-11-10 12:00:00,-0.9268197
2023-11-10 13:00:00,-0.9882303
2023-11-10 14:00:00,-0.4998101
2023-11-10 15:00:00,-0.011967839
2023-11-10 16:00:00,0.44595715
2023-11-10 17:00:00,0.9268908
2023-11-10 18:00:00,1.2906156
2023-11-10 19:00:00,1.4262971
2023-11-10 20:00:00,1.2382324
2023-11-10 21:00:00,0.82716703
2023-11-10 22:00:00,0.32880414
2023-11-10 23:00:00,-0.18935588
2023-11-11 00:00:00,-0.6686469
2023-11-11 01:00:00,-0.973278
2023-11-11 02:00:00,-0.6904667
2023-11-11 03:00:00,-0.20383212
2023-11-11 04:00:00,0.24138555
2023-11-11 05:00:00,0.6799696
2023-11-11 06:00:00,1.0701544
2023-11-11 07:00:00,1.2497492
